unique_key,cas_number,smiles,is_complex_mixture,match_method,mw,xlogp
E410,141-14-0,CCC(=O)OCCC(C)CCC=C(C)C,False,Match (E410),212.33,4.2
E411,Unknown,,True,No Match,,
E412,Unknown,,True,No Match,,
E413,Unknown,,True,No Match,,
E414,203787-91-1,C1=CC=C(C(=C1)C(=O)NCCCCCCCC(=O)[O-])O.[Na+],False,Match (E414),301.31,
E414A,Unknown,,True,No Match,,
E415,Unknown,CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O,False,Match (E415),1016.8,-9.5
E416,Unknown,,True,No Match,,
E417,Unknown,,True,No Match,,
E418,Unknown,,True,No Match,,
E419,Unknown,,True,No Match,,
E420,50-70-4,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,False,Match (E420),182.17,-3.1
