product_name,categories_tags,countries_en,ingredients_text,additives_tags
"Gelato, bananas foster","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, pure cane sugar, bananas, coconut oil, fresh cream, glucose, dextrose, mono-and diglycerides, guar gum, tara gum, carrageenan, maltodextrin, natural and artificial flavors.","en:e407,en:e412,en:e417,en:e471"
"Gelato, white chocolate raspberry swirl","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, pure cane sugar, coconut oil, fresh cream, glucose, dextrose, maltodextrin, raspberries, citric acid, mono - and diglycerides, guar gum, tara gum, carrageenan, pectin, cellulose gum, natural flavors.","en:e330,en:e407,en:e412,en:e417,en:e440,en:e466,en:e471"
"Gelato, tiramisu","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, pure cane sugar, coconut oil, fresh cream, glucose, dextrose, egg yolk, marsala wine, coffee, modified starch, mascarpone cheese (pasteurized milk, cream, citric acid), pectin, mono and diglycerides, guar gum, tara gum, carrageenan, xanthan gum, citric acid, natural and artificial flavors.","en:e14xx,en:e330,en:e407,en:e412,en:e415,en:e417,en:e440,en:e471"
"Gelato, caramel, sea salt","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, pure cane sugar, coconut oil, fresh cream, dextrose, glucose, maltodextrin, cocoa, sea salt, soy lecithin, mono and diglycerides, guar gum, tara gum, carrageenan. natural flavors.","en:e322,en:e322i,en:e407,en:e412,en:e417,en:e471"
"Gelato, italian cookie crunch","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, pure cane sugar, coconut oil, fresh cream, glucose, cocoa powder, dextrose, enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), salt, soy lecithin, sunflower seed oil, hazelnuts, mono - and diglycerides, guar gum, tara gum, carrageenan, natural and artificial flavors.","en:e322,en:e322i,en:e407,en:e412,en:e417,en:e471"
"Gelato, coconut","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, pure cane sugar, fresh cream, coconut oil, glucose, coconut, dextrose, maltodextrin, mono and diglycerides, guar gum, tara gum, carrageenan, natural and artificial flavors.","en:e407,en:e412,en:e417,en:e471"
"Ice cream, southern peach","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, liquid sugar, peaches (peaches, sugar, water, pectin, natural flavors, citric acid, locust bean gum, annatto color), skim milk, corn syrup, natural flavor, mono - and diglycerides, guar gum, cellulose gum, carrageenan, dextrose.","en:e330,en:e407,en:e410,en:e412,en:e440,en:e466,en:e471"
"Ice cream, grandma's apple pie","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, liquid sugar, skim milk, apple pecan swirls (corn syrup, apples, high fructose corn syrup, water, pecans, modified cornstarch, sugar, spices, citric acid), apple pie base (water, corn syrup, sugar, concentrated apple juice, natural flavor, spices, modified cornstarch, citric acid), corn syrup, cinnamon pie piece(unenriched wheat flour, butter , [cream salt], powdered sugar [sugar, cornstarch], water, sugar, cinnamon, salt), mono - and diglycerides, guar gum, cellulose gum, carrageenan, dextrose.","en:e330,en:e407,en:e412,en:e466,en:e471"
"Ice cream, milk chocolate","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams",United States,"Milk, cream, liquid sugar, white chocolate base (sugar, buttermilk, corn syrup, cocoa butter, butter [cream, salt], salt, natural flavor, titanium dioxide [color], phosphoric acid, glycerol monostearate), skim milk, corn syrup, cocoa (processed with alkali), mono - and diglycerides, guar gum, cellulose gum, carrageenan, dextrose, vanilla extract.","en:e171,en:e338,en:e407,en:e412,en:e466,en:e471"
"Ice cream, french quarter praline","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams",United States,"Milk, cream, liquid sugar, skim milk, caramel sauce (corn syrup, sugar, water, nonfat milk solids, butter (cream, salt], molasses, salt, pectin), praline pecans (sugar, pecans, butter (cream, salt], corn syrup, salt), corn syrup, caramel base (corn syrup, sugar, water, nonfat milk solids, butter [cream, salt], salt), mono - and diglycerides, guar gum, cellulose gum, carrageenan, dextrose.","en:e407,en:e412,en:e440,en:e466,en:e471"
"Ice cream, coffee shoppe","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams",United States,"Milk, cream, liquid sugar, skim milk, corn syrup, natural flavor (water, coffee), mono - and diglycerides, guar gum, cellulose gum, carrageenan, dextrose, vanilla extract.","en:e407,en:e412,en:e466,en:e471"
"Ice cream, coconut almond fudge","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams",United States,"Milk, cream, liquid sugar, skim milk, shredded coconut (sugar, water, coconut shreds, coconut flavor with other natural flavors, xanthan gum, phosphoric acid), almond fudge blend (sugar, coconut oil, roasted almonds [almonds, canola and/or safflower oil], cocoa [processed with alkali], cocoa, butter oil, butter fat, soy lecithin, natural flavor), corn syrup, natural flavors, mono - and diglycerides, guar gum, cellulose gum, carrageenan, dextrose.","en:e322,en:e322i,en:e338,en:e407,en:e412,en:e415,en:e466,en:e471"
